ERHEBUNGDATUM,BADEPLATZ,GEWAESSER,QUALITAETSKLASSE
09.08.2019,"Uttwil Badeplatz","Bodensee",A
09.08.2019,"Salmsach Badeplatz","Bodensee",B
07.08.2019,"Hauptwiler-Weiher Badeplatz","Binnenseen",A
09.08.2019,"Diessenhof Badeplatz","Rhein",A
06.08.2019,"Wiler-Weiher Badeplatz","Binnenseen",A
06.08.2019,"Barchetsee Badeplatz","Binnenseen",A
09.08.2019,"Altnau Badeplatz","Bodensee",A
09.08.2019,"Güttingen Badeplatz","Bodensee",A
09.08.2019,"Kreuzlingen Seebad","Bodensee",A
09.08.2019,"Scherzingen Badeplatz","Bodensee",B
12.08.2019,"Tägerwilen Badeplatz","Untersee",A
07.08.2019,"Bommerweiher Badeplatz","Binnenseen",A
07.08.2019,"Märwiler-Weiher Badeplatz","Binnenseen",B
07.08.2019,"Bichelsee Badeplatz","Binnenseen",A
06.08.2019,"Berlingen Badeplatz","Untersee",C
06.08.2019,"Eschenz Badeplatz","Untersee",A
06.08.2019,"Hüttwilersee Badeplatz","Binnenseen",A
06.08.2019,"Nussbaumersee Badeplatz Nussbaumen","Binnenseen",B
07.08.2019,"Pfynerweiher Badeplatz","Binnenseen",A
06.08.2019,"Mannenbach Badeplatz","Untersee",C
06.08.2019,"Steckborn Seebad","Untersee",A
06.08.2019,"Wagenhausen Badeplatz","Rhein",B
07.08.2019,"Istighofer-Weiher Badeplatz","Binnenseen",A
06.08.2019,"Ermatingen Badeplatz","Untersee",A
06.08.2019,"Mammern Badeplatz","Untersee",B
06.08.2019,"Nussbaumersee Badeplatz Stammheim","Binnenseen",B
09.08.2019,"Bottighofen Badeplatz","Bodensee",B
12.08.2019,"Gottlieben Badeplatz","Untersee",A
09.08.2019,"Petri Badeplatz","Rhein",A
